TMDb-MovieId,IMDb-MovieId,Movie-Title,Original-Language,Popularity,Release-Date,Runtime,Production-Companies,Production-Countries,Budget,Revenue,Genre,Writer,Director,Actor,Rating
478159,tt6542108,Patrick,en,8.388,2018-06-29,94,"Head Gear Films,The Exchange,Metrol Technology,BondIt,Wagging Tale Productions,Buena Vista International",United Kingdom,7834998,0,"Comedy,Family,Romance","Vanessa Davies,Paul de Vos,Mandie Fletcher",Mandie Fletcher,"Sam Fletcher,Beattie Edmondson,Rupert Holliday-Evans",5.9
502167,tt6842126,Don’t Leave Home,en,12.365,2018-03-10,86,"Indie Entertainment,Salem Street Entertainment,DreamAlliance Entertainment,Dialectic,Orama Filmworks",United States of America,0,0,"Horror,Mystery,Thriller",Michael Tully,Michael Tully,"Bobby Roddy,Mark Lawrence,Sue Walsh",5.0
426865,tt6290798,UFO,en,11.461,2018-09-04,88,Story Mining & Supply Company,United States of America,0,0,"Drama,Mystery,Sci-Fi",Ryan Eslinger,Ryan Eslinger,"Alex Sharp,Gillian Anderson,Ella Purnell",6.2
547454,tt6529772,Never Heard,en,2.709,2018-11-01,89,"Webber Films,Riveting Entertainment",United States of America,4000000,0,"Drama,Family","Tamera Hill,Michael Girgenti,Edna Janeen White",Josh Webber,"David Banner,Robin Givens,Romeo Miller",5.5
429300,tt6306064,Adrift,en,18.031,2018-06-08,96,"STX Entertainment,RVK Studios,Lakeshore Entertainment,Huayi Brothers Pictures","Hong Kong,Iceland,United States of America",35000000,59900000,"Action,Adventure,Biography","Aaron Kandell,Jordan Kandell,David Branson Smith",Baltasar Kormákur,"Shailene Woodley,Sam Claflin,Jeffrey Thomas",6.6
532656,tt6301784,Perfect Skin,en,2.871,2019-01-26,110,"Kew Media Group,Global Chicken",United Kingdom,0,0,"Horror,Thriller","Kevin Chicken,Dusan Tolmac",Kevin Chicken,"Richard Brake,Natalia Kostrzewa,Kasia Koleczek",5.3
506025,tt6532374,Swimming with Men,en,7.016,2018-07-06,94,"Met Film Production,Dignity Film Finance,Shoebox Films",United Kingdom,0,0,"Comedy,Drama,Sport",Aschlin Ditta,Oliver Parker,"Rob Brydon,Rupert Graves,Thomas Turgoose",6.4
441282,tt6533240,Night Hunter,en,19.321,2019-08-29,95,"Arcola Entertainment,Arise Pictures,Buffalo Gal Pictures,Fortitude International,PalmStar Media","Canada,United Kingdom,United States of America",0,1012932,"Action,Thriller",David Raymond,David Raymond,"Henry Cavill,Ben Kingsley,Alexandra Daddario",5.9
560252,tt6301452,Matriarch,en,6.733,2018-11-02,91,New Light Films,United Kingdom,0,0,"Horror,Thriller",Scott Vickers,Scott Vickers,"Charlie Blackwood,Julie Hannan,Scott Vickers",5.2
489243,tt6866224,The Hummingbird Project,en,8.146,2019-03-15,111,"Item 7,Belga Productions,HanWay Films,Automatik Entertainment","Belgium,Canada",0,876980,"Drama,Thriller",Kim Nguyen,Kim Nguyen,"Jesse Eisenberg,Alexander Skarsgård,Salma Hayek",6.2
480853,tt6509058,Nancy,en,5.242,2018-06-08,87,Gamechanger Films,United States of America,0,0,"Drama,Mystery,Thriller",Christina Choe,Christina Choe,"Andrea Riseborough,Ann Dowd,J. Smith-Cameron",6.2
489928,tt6443294,Blaze,en,6.267,2018-08-17,129,"Ansgar Media,Cinetic Media,Village Studios,Black Hangar Studios",United States of America,1200000,467306,"Biography,Drama,Music","Ethan Hawke,Sybil Rosen",Ethan Hawke,"Ben Dickey,Alia Shawkat,Josh Hamilton",6.5
521931,tt6864864,Bobby Robson: More Than a Manager,en,4.507,2018-06-06,104,Noah Media Group,United Kingdom,0,0,"Documentary,Sport",Gabriel Clarke,"Gabriel Clarke,Torquil Jones","José Mourinho,Gary Lineker,Ronaldo",8.1
451563,tt6423886,Happy Anniversary,en,5.632,2018-03-30,78,"Industry Entertainment,Odenkirk Provissiero Entertainment,A Stern Talking To",United States of America,0,0,Comedy,Jared Stern,Jared Stern,"Noël Wells,Ben Schwartz,Rahul Kohli",5.7
479040,tt6684714,Acts of Violence,en,10.102,2018-01-12,86,"Colecar Productions,River Bay Films,Tri-Fold Pictures,EFO Films",Canada,0,0,"Action,Crime,Thriller",Nicolas Aaron Mezzanatto,Brett Donowho,"Bruce Willis,Cole Hauser,Shawn Ashmore",5.3
